CHAMADO,DT_ABERTURA_CHAMADO,TIPO_CHAMADO,MODULO_CHAMADO,COMPLEXIDADE,IS,ANOMES_ABERTURA
TASK105659172-1,2024-01-29 10:07:59,Suporte,Custos,N3,MES1,202401
TASK105583695-1,2023-11-14 09:23:31,Suporte,Compras,N1,BMIR,202311
TASK105632804-1,2023-12-28 14:06:55,Manutenção,Compras,N1,RKEN,202312
TASK105704429-1,2024-03-12 05:26:06,Suporte,Compras,N1,VLU,202403
TASK105665848-1,2024-02-02 11:31:02,Suporte,Financeiro,N1,T3ASC4,202402
TASK105666435-1,2024-02-05 08:38:57,Suporte,Financeiro,N1,JNIS,202402
TASK105698716-1,2024-03-06 13:38:11,Melhoria,Financeiro,N3,ASGN,202403
TASK105462839-1,2023-07-26 06:07:33,Melhoria,Compras,N3,LGOM2,202307
TASK105643964-1,2024-01-15 08:53:36,Melhoria,Compras,N3,RBR1,202401
TASK105635226-1,2024-01-03 08:04:08,Manutenção,Financeiro,N1,EDSR,202401
TASK105642582-1,2024-01-12 11:34:36,Manutenção,Financeiro,N1,RRLV,202401
TASK105466937-1,2023-07-28 06:50:55,Projetos,Financeiro,N3,JVM6,202307
TASK105582659-1,2023-11-13 13:19:02,Manutenção,Financeiro,N1,RDRB,202311
TASK105632308-1,2023-12-27 10:27:30,Melhoria,Financeiro,N3,MAPC5,202312
TASK105643965-1,2024-01-15 08:59:04,Manutenção,Financeiro,N1,GROD1,202401
TASK105605033-1,2023-11-30 14:16:10,Suporte,Compras,N1,DDAS,202311
TASK105548512-1,2023-10-11 12:40:30,Manutenção,Qualidade,N1,CTT,202310
TASK105596963-1,2023-11-24 15:00:56,Manutenção,Produção,N3,GLO,202311
TASK105682493-1,2024-02-20 13:55:26,Suporte,Compras,N1,JDEF,202402
TASK105710789-1,2024-03-15 06:14:13,Suporte,Financeiro,N1,MTTA,202403
TASK105723076-1,2024-03-27 15:00:58,Suporte,Compras,N3,JAMJ,202403
TASK105634348-1,2024-01-02 05:23:21,Suporte,Compras,N1,RTEC,202401
TASK105635449-1,2024-01-03 11:16:59,Suporte,Manutenção,N1,,202401
TASK105636918-1,2024-01-05 12:05:50,Suporte,Vendas,N1,LFRO1,202401
TASK105641491-1,2024-01-11 13:48:22,Suporte,Produção,N1,T3LSC2,202401
TASK105642738-1,2024-01-12 13:40:02,Suporte,Depósito,N1,T3JSM6,202401
TASK105646601-1,2024-01-17 08:51:20,Suporte,Compras,N1,T3JFBD,202401
TASK105650974-1,2024-01-22 12:30:47,Suporte,Fiscal,N1,T3TLGR,202401
TASK105663853-1,2024-02-01 05:28:55,Suporte,Compras,N1,JMAP3,202402
TASK105664073-1,2024-02-01 06:47:46,Suporte,Compras,N1,BMIR,202402
TASK105668048-1,2024-02-06 13:14:16,Projetos,Fiscal,N3,SVAS,202402
TASK105668049-1,2024-02-06 13:18:45,Suporte,Compras,N1,RKEN,202402
TASK105670238-1,2024-02-08 13:51:04,Suporte,Fiscal,N1,T3TLGR,202402
TASK105682492-1,2024-02-20 13:49:52,Suporte,Compras,N1,VLU,202402
TASK105682494-1,2024-02-20 13:58:43,Suporte,Fiscal,N1,SVAS,202402
TASK105697138-1,2024-03-05 07:35:18,Suporte,Financeiro,N1,CJDA,202403
TASK105716516-1,2024-03-21 10:38:45,Suporte,Compras,N3,LGOM2,202403
TASK105466936-1,2023-07-28 06:14:19,Suporte,Compras,N1,RBR1,202307
TASK105480778-1,2023-08-11 12:17:26,Manutenção,Financeiro,N1,MDSC,202308
TASK105434108-1,2023-06-29 12:33:55,Melhoria,Vendas,N3,SMMT,202306
TASK105487477-1,2023-08-17 15:42:53,Melhoria,Vendas,N3,PFRN1,202308
TASK105572457-1,2023-11-06 10:41:49,Melhoria,Vendas,N3,LAS,202311
TASK105545806-1,2023-10-09 07:19:35,Manutenção,Vendas,N1,PMSN,202310
TASK105625222-1,2023-12-19 10:58:08,Suporte,Vendas,N1,ARDA2,202312
TASK105571064-1,2023-11-03 12:51:12,Manutenção,Vendas,N1,JVF,202311
TASK105593909-1,2023-11-22 10:12:49,Melhoria,Produção,N3,GLO,202311
TASK105354270-1,2023-04-20 16:03:48,Manutenção,Compras,N1,DDAS,202304
TASK105465981-1,2023-07-27 12:00:36,Melhoria,Fluxo Aprovação,N3,,202307
TASK105724950-1,2024-04-01 11:46:55,Suporte,Fiscal,N1,T3TLGR,202404
TASK105609100-1,2023-12-04 13:26:45,Suporte,Custos,N3,T3CIBM,202312
TASK105506344-1,2023-08-30 07:34:31,Manutenção,Compras,N1,JDEF,202308
TASK105721839-1,2024-03-26 07:07:31,Suporte,Depósito,N1,T3JSM6,202403
